codigo;familia;documentos;estado;implementacion;tests
RF-07-01;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-02;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-03;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-04;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-05;RF;07_VALUACION_TECNICA_DE_MUEBLES.md,ANEXO_B_DICCIONARIO_DE_DATOS.md;PENDIENTE;;
RF-07-06;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-07;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-08;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-09;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-07-10;RF;07_VALUACION_TECNICA_DE_MUEBLES.md;PENDIENTE;;
RF-08-01;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-02;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-03;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-04;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-05;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-06;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-07;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-08;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-09;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-08-10;RF;08_VALUACION_DE_INMUEBLES.md;PENDIENTE;;
RF-09-01;RF;09_BAJA_DE_BIENES.md;IMPLEMENTADO;modules/bajas (bandeja de candidatos alimentada por calculo_obsolescencia) · renderer/features/bajas/paginas/Candidatos;bajas.test.ts · bajas.spec.ts
RF-09-02;RF;09_BAJA_DE_BIENES.md;IMPLEMENTADO;baja:proponer con causal y justificación individual obligatoria (RN-09-06);bajas.test.ts
RF-09-03;RF;09_BAJA_DE_BIENES.md;IMPLEMENTADO;motor/baja.evaluarReparacion; la relación se persiste con la propuesta
RF-09-04;RF;09_BAJA_DE_BIENES.md;PARCIAL;baja:cambiarEstado recorre ANEXO_B §6.3 y deja cada paso en bitácora; el acta del Comité que identifica a quien aprueba es del módulo 09-10
RF-09-05;RF;09_BAJA_DE_BIENES.md;PENDIENTE;;
RF-09-06;RF;09_BAJA_DE_BIENES.md;PENDIENTE;;
RF-09-07;RF;09_BAJA_DE_BIENES.md;PARCIAL;efecto contable por propuesta y agregado en baja:resumen (RN-09-05); falta el corte por subcuenta de la consolidación
RF-09-08;RF;09_BAJA_DE_BIENES.md;PENDIENTE;;
RF-09-09;RF;09_BAJA_DE_BIENES.md;PENDIENTE;;
RF-09-10;RF;09_BAJA_DE_BIENES.md;IMPLEMENTADO;INT-07 por trigger: ejecutar sin acta aborta en la base;bajas.test.ts
RF-09-11;RF;09_BAJA_DE_BIENES.md;PENDIENTE;;
RF-10-01;RF;10_CONSOLIDACION_Y_ACTOS_ADMINISTRATIVOS.md;PENDIENTE;;
